id;collectivite_1;collectivite_2;commune;adresse;logitude;latitude
1;purple;non-volatile backing up;Buckinghamshire TCP programming;Credit Card Account;70113;11666
2;maroon markets Engineer;Kwanza;invoice;Mexican Peso Mexican Unidad de Inversion (UDI);31996;23917
3;synthesizing;Licensed Cotton Bike Soft customized;Handcrafted Granite Car neural;Mobility Technician;36622;42323
4;Pakistan Rupee forecast Agent;deposit;Bolivia;executive;39493;38300
5;Personal Loan Account Overpass;salmon US Dollar USB;Human;Exclusive Euro;37874;86018
6;Sleek Steel Shoes New Mexico;Tunnel optical digital;matrix RSS;AGP Factors;61379;52012
7;Plastic;Fork;engage;Unbranded Cotton Computer calculate Sleek Metal Salad;10245;79215
8;Health Refined Fresh Cheese;cohesive users;Industrial optimize redundant;JSON connecting Pennsylvania;76902;9810
9;Future back up Health;Fiji Dollar Practical;Cape SQL;JBOD;77459;5928
10;Senegal Research Industrial;card;action-items Executive;Frozen Accountability;65365;42337
